Date;Service;Departure station;Arrival station;Average journey time;Number of scheduled trains;Number of cancelled trains;Cancellation comments;Number of trains delayed at departure;Average delay of late trains at departure;Average delay of all trains at departure;Departure delay comments;Number of trains delayed at arrival;Average delay of late trains at arrival;Average delay of all trains at arrival;Arrival delay comments;Number of trains delayed > 15min;Average delay of trains > 15min (if competing with flights);Number of trains delayed > 30min;Number of trains delayed > 60min;Pct delay due to external causes;Pct delay due to infrastructure;Pct delay due to traffic management;Pct delay due to rolling stock;Pct delay due to station management and equipment reuse;Pct delay due to passenger handling (crowding, disabled persons, connections)
2018-01;National;REIMS;PARIS EST;46.0;230.0;1.0;None;93.0;0.0;30.62165761769024;None;62.0;12.81747312;3.538937409;None;20.0;3.538937409;3.0;0.0;17.94871795;41.02564103;0.0;5.128205128;0.0;0.0
2018-01;National;STRASBOURG;NANTES;286.0;40.0;1.0;None;9.0;4.151851852;0.898717949;None;5.0;46.75333333;8.574786325;None;5.0;8.574786325;2.0;2.0;20.0;0.0;40.0;20.0;0.0;75.91572970554272
2018-01;National;DOUAI;PARIS NORD;77.0;0.0;3.0;None;39.0;8.032905983;1.802920962;None;37.0;21.4009009;5.046907216;None;10.0;5.046907216;5.0;3.0;36.36363636;18.18181818;22.72727273;18.18181818;4.545454545;0.0
2018-01;National;LILLE;PARIS NORD;63.0;579.0;9.0;None;872.2920065252855;8.22195122;0.0;None;101.0;22.20577558;4.229619883;None;38.0;4.222212493;17.0;10.0;36.23188406;8.695652174;21.73913043;0.0;5.797101449;4.347826087
2018-01;National;LILLE;MARSEILLE ST CHARLES;307.0;190.0;4.0;None;50.0;7.381333333;2.043458781;None;35.0;44.1152381;9.938261649;None;0.0;9.938261649;0.0;0.0;57.14285714;19.04761905;0.0;9.523809524;4.761904762;4.761904762
2018-01;National;PARIS NORD;DOUAI;69.0;192.0;2.0;None;0.0;10.39367816;0.0;None;30.0;19.24777778;2.288070175;None;11.0;2.288070175;5.0;3.0;37.5;0.0;12.5;190.4200842324105;4.166666667;0.0
2018-01;National;NANTES;PARIS VAUGIRARD;143.0;62.0;0.0;None;15.0;13.87111111;3.647043011;None;6.0;0.0;58.47323134889636;None;5.0;5.310215054;3.0;1.0;0.0;50.0;0.0;190.4200842324105;16.66666667;16.66666667
2018-01;National;TOURCOING;MARSEILLE ST CHARLES;309.0;31.0;1.0;None;0.0;0.0;0.0;None;1.0;58.88333333;2.345;None;1.0;2.345;1.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0
2018-01;National;BELLEGARDE (AIN);PARIS LYON;0.0;259.0;0.0;None;115.0;8.253188406;3.758333333;None;53.0;34.96918239;7.531966146;None;42.0;7.531966146;21.0;9.0;54.90196078;19.60784314;15.68627451;1.960784314;5.882352941;1.960784314
2018-01;National;MACON LOCHE;PARIS LYON;99.0;225.0;1.0;None;153.0;11.77625272;8.031622024;None;49.0;26.26054422;6.021279762;None;38.0;6.021279762;10.0;1.0;16.21621622;27.02702703;32.43243243;0.0;2.702702703;0.0
2018-01;National;MARNE LA VALLEE;MARSEILLE ST CHARLES;217.0;323.0;6.0;None;181.0;12.37053407;7.174973712;None;49.0;44.03129252;8.152208202;None;0.0;8.152208202;0.0;0.0;46.66666667;218.65088787857883;6.666666667;20.0;6.666666667;3.333333333
2018-01;National;MONTPELLIER;LYON PART DIEU;112.0;299.0;6.0;None;107.0;11.30903427;4.26410694;None;62.0;31.8483871;9.1221843;None;46.0;9.1221843;21.0;0.0;28.57142857;34.28571429;22.85714286;11.42857143;2.857142857;0.0
2018-01;National;PARIS LYON;MARSEILLE ST CHARLES;202.0;482.0;2.0;None;51.0;13.03660131;1.0721875;None;43.0;41.65620155;5.045868056;None;43.0;5.045868056;20.0;0.0;41.02564103;30.76923077;12.82051282;15.38461538;0.0;0.0
